Hora,m@all,delta@all,cdv@all
00:00,100,0.1236,1
00:15,100,0.1236,1
00:30,100,0.1236,1
00:45,100,0.1236,1
01:00,100,0.1236,1
01:15,100,0.1236,1
01:30,100,0.1236,1
01:45,100,0.1236,1
02:00,100,0.1236,1
02:15,100,0.1236,1
02:30,100,0.1236,1
02:45,100,0.1236,1
03:00,100,0.1236,1
03:15,100,0.1236,1
03:30,100,0.1236,1
03:45,100,0.1236,1
04:00,100,0.1236,1
04:15,100,0.1236,1
04:30,100,0.1236,1
04:45,100,0.1236,1
05:00,100,0.1236,1
05:15,100,0.1236,1
05:30,100,0.1236,1
05:45,100,0.1236,1
06:00,100,0.1236,1
06:15,100,0.1236,1
06:30,100,0.1236,1
06:45,100,0.1236,1
07:00,100,0.1236,1
07:15,100,0.1236,1
07:30,100,0.1236,1
07:45,100,0.1236,1
08:00,100,0.1236,1
08:15,100,0.1236,1
08:30,100,0.1236,1
08:45,100,0.1236,1
09:00,100,0.1236,1
09:15,100,0.1236,1
09:30,100,0.1236,1
09:45,100,0.1236,1
10:00,100,0.1236,1
10:15,100,0.1236,1
10:30,100,0.1236,1
10:45,100,0.1236,1
11:00,100,0.1236,1
11:15,100,0.1236,1
11:30,100,0.1236,1
11:45,100,0.1236,1
12:00,100,0.1236,1
12:15,100,0.1236,1
12:30,100,0.1236,1
12:45,100,0.1236,1
13:00,100,0.1236,1
13:15,100,0.1236,1
13:30,100,0.1236,1
13:45,100,0.1236,1
14:00,100,0.1236,1
14:15,100,0.1236,1
14:30,100,0.1236,1
14:45,100,0.1236,1
15:00,100,0.1236,1
15:15,100,0.1236,1
15:30,100,0.1236,1
15:45,100,0.1236,1
16:00,100,0.1236,1
16:15,100,0.1236,1
16:30,100,0.1236,1
16:45,100,0.1236,1
17:00,100,0.1236,1
17:15,100,0.1236,1
17:30,100,0.1236,1
17:45,100,0.1236,1
18:00,100,0.1236,1
18:15,100,0.1236,1
18:30,100,0.1236,1
18:45,100,0.1236,1
19:00,100,0.1236,1
19:15,100,0.1236,1
19:30,100,0.1236,1
19:45,100,0.1236,1
20:00,100,0.1236,1
20:15,100,0.1236,1
20:30,100,0.1236,1
20:45,100,0.1236,1
21:00,100,0.1236,1
21:15,100,0.1236,1
21:30,100,0.1236,1
21:45,100,0.1236,1
22:00,100,0.1236,1
22:15,100,0.1236,1
22:30,100,0.1236,1
22:45,100,0.1236,1
23:00,100,0.1236,1
23:15,100,0.1236,1
23:30,100,0.1236,1
23:45,100,0.1236,1
00:00,100,0.1236,1
00:15,100,0.1236,1
00:30,100,0.1236,1
00:45,100,0.1236,1
01:00,100,0.1236,1
01:15,100,0.1236,1
01:30,100,0.1236,1
01:45,100,0.1236,1
02:00,100,0.1236,1
02:15,100,0.1236,1
02:30,100,0.1236,1
02:45,100,0.1236,1
03:00,100,0.1236,1
03:15,100,0.1236,1
03:30,100,0.1236,1
03:45,100,0.1236,1
04:00,100,0.1236,1
04:15,100,0.1236,1
04:30,100,0.1236,1
04:45,100,0.1236,1
05:00,100,0.1236,1
05:15,100,0.1236,1
05:30,100,0.1236,1
05:45,100,0.1236,1
06:00,100,0.1236,1
06:15,100,0.1236,1
06:30,100,0.1236,1
06:45,100,0.1236,1
07:00,100,0.1236,1
07:15,100,0.1236,1
07:30,100,0.1236,1
07:45,100,0.1236,1
08:00,100,0.1236,1
08:15,100,0.1236,1
08:30,100,0.1236,1
08:45,100,0.1236,1
09:00,100,0.1236,1
09:15,100,0.1236,1
09:30,100,0.1236,1
09:45,100,0.1236,1
10:00,100,0.1236,1
10:15,100,0.1236,1
10:30,100,0.1236,1
10:45,100,0.1236,1
11:00,100,0.1236,1
11:15,100,0.1236,1
11:30,100,0.1236,1
11:45,100,0.1236,1
12:00,100,0.1236,1
12:15,100,0.1236,1
12:30,100,0.1236,1
12:45,100,0.1236,1
13:00,100,0.1236,1
13:15,100,0.1236,1
13:30,100,0.1236,1
13:45,100,0.1236,1
14:00,100,0.1236,1
14:15,100,0.1236,1
14:30,100,0.1236,1
14:45,100,0.1236,1
15:00,100,0.1236,1
15:15,100,0.1236,1
15:30,100,0.1236,1
15:45,100,0.1236,1
16:00,100,0.1236,1
16:15,100,0.1236,1
16:30,100,0.1236,1
16:45,100,0.1236,1
17:00,100,0.1236,1
17:15,100,0.1236,1
17:30,100,0.1236,1
17:45,100,0.1236,1
18:00,100,0.1236,1
18:15,100,0.1236,1
18:30,100,0.1236,1
18:45,100,0.1236,1
19:00,100,0.1236,1
19:15,100,0.1236,1
19:30,100,0.1236,1
19:45,100,0.1236,1
20:00,100,0.1236,1
20:15,100,0.1236,1
20:30,100,0.1236,1
20:45,100,0.1236,1
21:00,100,0.1236,1
21:15,100,0.1236,1
21:30,100,0.1236,1
21:45,100,0.1236,1
22:00,100,0.1236,1
22:15,100,0.1236,1
22:30,100,0.1236,1
22:45,100,0.1236,1
23:00,100,0.1236,1
23:15,100,0.1236,1
23:30,100,0.1236,1
23:45,100,0.1236,1
